gene_id	entrez_id	gene_name	symbol	analysis_group
pigf	402942	phosphatidylinositol glycan anchor biosynthesis, class F	pigf	00_All_Treatments
psmd6	393261	proteasome 26S subunit, non-ATPase 6	psmd6	00_All_Treatments
psmd2	393518	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	psmd2	00_All_Treatments
rps19bp1	100005069	ribosomal protein S19 binding protein 1	rps19bp1	00_All_Treatments
abcc3	323301	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	abcc3	00_All_Treatments
eif2s2	324365	eukaryotic translation initiation factor 2, subunit 2 beta	eif2s2	00_All_Treatments
si:dkey-60a16.1	594863	si:dkey-60a16.1	si:dkey-60a16.1	00_All_Treatments
mtif2	556465	mitochondrial translational initiation factor 2	mtif2	00_All_Treatments
lonp1	563257	lon peptidase 1, mitochondrial	lonp1	00_All_Treatments
gfpt1	567861	glutamine--fructose-6-phosphate transaminase 1	gfpt1	00_All_Treatments
tuba8l4	393154	tubulin, alpha 8 like 4	tuba8l4	00_All_Treatments
aldh18a1	557186	aldehyde dehydrogenase 18 family, member A1	aldh18a1	00_All_Treatments
imp4	436992	IMP U3 small nucleolar ribonucleoprotein 4	imp4	00_All_Treatments
nom1	557585	nucleolar protein with MIF4G domain 1	nom1	00_All_Treatments
h2ax	394048	H2A.X variant histone	h2ax	00_All_Treatments
pdcd5	394152	programmed cell death 5	pdcd5	00_All_Treatments
pfdn4	572231	prefoldin subunit 4	pfdn4	00_All_Treatments
mdka	30277	midkine a	mdka	00_All_Treatments
rbbp9	553083	retinoblastoma binding protein 9	rbbp9	00_All_Treatments
LOC103908679	103908679	gastrula zinc finger protein XlCGF57.1-like	LOC103908679	00_All_Treatments
anxa5b	337132	annexin A5b	anxa5b	00_All_Treatments
LOC101885830	101885830	uncharacterized LOC101885830	LOC101885830	00_All_Treatments
armc7	767659	armadillo repeat containing 7	armc7	00_All_Treatments
LOC553528	553528	OCIA domain-containing protein 1-like	LOC553528	00_All_Treatments
LOC572225	572225	zinc finger protein 501	LOC572225	00_All_Treatments
LOC101884777	101884777	butyrophilin-like protein 2	LOC101884777	00_All_Treatments
p2rx4b	387301	purinergic receptor P2X, ligand-gated ion channel, 4b	p2rx4b	00_All_Treatments
erlec1	368331	endoplasmic reticulum lectin 1	erlec1	00_All_Treatments
si:ch211-194m7.4	100331859	si:ch211-194m7.4	si:ch211-194m7.4	00_All_Treatments
got2b	335974	glutamic-oxaloacetic transaminase 2b, mitochondrial	got2b	00_All_Treatments
LOC103909395	103909395	adhesion G protein-coupled receptor E3-like	LOC103909395	00_All_Treatments
ufl1	393578	UFM1-specific ligase 1	ufl1	00_All_Treatments
zgc:113333	541364	zgc:113333	zgc:113333	00_All_Treatments
gcdhb	450003	glutaryl-CoA dehydrogenase b	gcdhb	00_All_Treatments
rpap3	393173	RNA polymerase II associated protein 3	rpap3	00_All_Treatments
LOC101882521	101882521	uncharacterized LOC101882521	LOC101882521	00_All_Treatments
cyp2ae1	572114	cytochrome P450, family 2, subfamily AE, polypeptide 1	cyp2ae1	00_All_Treatments
map2k6	65239	mitogen-activated protein kinase kinase 6	map2k6	00_All_Treatments
fn3krp	559954	fructosamine 3 kinase related protein	fn3krp	00_All_Treatments
trpv4	557850	transient receptor potential cation channel, subfamily V, member 4	trpv4	00_All_Treatments
tbcelb	100332392	tubulin folding cofactor E-like b	tbcelb	00_All_Treatments
LOC110439496	110439496	gastrula zinc finger protein XlCGF57.1-like	LOC110439496	00_All_Treatments
si:ch73-380l3.2	100003913	si:ch73-380l3.2	si:ch73-380l3.2	00_All_Treatments
bbc3	751763	BCL2 binding component 3	bbc3	00_All_Treatments
umad1	100148025	UBAP1-MVB12-associated (UMA) domain containing 1	umad1	00_All_Treatments
bend3	565716	BEN domain containing 3	bend3	00_All_Treatments
scg2b	777641	secretogranin II b	scg2b	00_All_Treatments
st7l	558013	suppression of tumorigenicity 7 like	st7l	00_All_Treatments
peli2	436889	pellino E3 ubiquitin protein ligase family member 2	peli2	00_All_Treatments
LOC101882702	101882702	golgin subfamily A member 6-like protein 22	LOC101882702	00_All_Treatments
pdk2b	393971	pyruvate dehydrogenase kinase 2b	pdk2b	00_All_Treatments
glt8d1	492466	glycosyltransferase 8 domain containing 1	glt8d1	00_All_Treatments
zgc:161973	556635	zgc:161973	zgc:161973	00_All_Treatments
ccdc134	571638	coiled-coil domain containing 134	ccdc134	00_All_Treatments
vdra	30076	vitamin D receptor a	vdra	00_All_Treatments
klhdc4	569887	kelch domain containing 4	klhdc4	00_All_Treatments
bdh1	100037356	3-hydroxybutyrate dehydrogenase, type 1	bdh1	00_All_Treatments
cdcp1b	560859	CUB domain containing protein 1b	cdcp1b	00_All_Treatments
rab11fip4b	100151129	RAB11 family interacting protein 4 (class II) b	rab11fip4b	00_All_Treatments
elapor2a	565175	endosome-lysosome associated apoptosis and autophagy regulator family member 2a	elapor2a	00_All_Treatments
ppfibp2b	436635	PPFIA binding protein 2b	ppfibp2b	00_All_Treatments
igf2bp2b	557028	insulin-like growth factor 2 mRNA binding protein 2b	igf2bp2b	00_All_Treatments
mrpl9	572170	mitochondrial ribosomal protein L9	mrpl9	00_All_Treatments
ube2h	368425	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	ube2h	00_All_Treatments
serpinh2	554550	serine (or cysteine) peptidase inhibitor, clade H, member 2	serpinh2	00_All_Treatments
elac2	492652	elaC ribonuclease Z 2	elac2	00_All_Treatments
slc12a8	100000006	solute carrier family 12 member 8	slc12a8	00_All_Treatments
noxa1	556318	NADPH oxidase activator 1	noxa1	00_All_Treatments
itpkcb	322720	inositol-trisphosphate 3-kinase Cb	itpkcb	00_All_Treatments
aatf	559477	apoptosis antagonizing transcription factor	aatf	00_All_Treatments
mdh1ab	335715	malate dehydrogenase 1Ab, NAD (soluble)	mdh1ab	00_All_Treatments
rnf111	100151141	ring finger protein 111	rnf111	00_All_Treatments
LOC100149761	100149761	dispanin subfamily A member 2b-like	LOC100149761	00_All_Treatments
dynll2a	373083	dynein, light chain, LC8-type 2a	dynll2a	00_All_Treatments
hcfc2	550401	host cell factor C2	hcfc2	00_All_Treatments
syngr3b	570094	synaptogyrin 3b	syngr3b	00_All_Treatments
cyp3c1	324340	cytochrome P450, family 3, subfamily c, polypeptide 1	cyp3c1	00_All_Treatments
mcm9	555610	minichromosome maintenance 9 homologous recombination repair factor	mcm9	00_All_Treatments
si:dkey-112e17.1	567743	si:dkey-112e17.1	si:dkey-112e17.1	00_All_Treatments
prkn	550328	parkin RBR E3 ubiquitin protein ligase	prkn	00_All_Treatments
asz1	572911	ankyrin repeat, SAM and basic leucine zipper domain containing 1	asz1	00_All_Treatments
hax1	436609	HCLS1 associated protein X-1	hax1	00_All_Treatments
ovch1	393114	ovochymase 1	ovch1	00_All_Treatments
ptprsa	140820	protein tyrosine phosphatase receptor type Sa	ptprsa	00_All_Treatments
terb1	559140	telomere repeat binding bouquet formation protein 1	terb1	00_All_Treatments
LOC566646	566646	uncharacterized LOC566646	LOC566646	00_All_Treatments
cited4a	562291	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4a	cited4a	00_All_Treatments
mcm3l	100147915	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like	mcm3l	00_All_Treatments
clu	393775	clusterin	clu	00_All_Treatments
zgc:171500	100006475	zgc:171500	zgc:171500	00_All_Treatments
igl1c1	101884804	immunoglobulin light 1 constant 1	igl1c1	00_All_Treatments
prdx6	393778	peroxiredoxin 6	prdx6	00_All_Treatments
adpgk	557919	ADP-dependent glucokinase	adpgk	00_All_Treatments
wu:fi46h04	100329282	wu:fi46h04	wu:fi46h04	00_All_Treatments
zgc:110425	553782	zgc:110425	zgc:110425	00_All_Treatments
tbca	394029	tubulin cofactor a	tbca	00_All_Treatments
card19	557314	caspase recruitment domain family, member 19	card19	00_All_Treatments
ftr16	562315	finTRIM family, member 16	ftr16	00_All_Treatments
dhrs1	368670	dehydrogenase/reductase (SDR family) member 1	dhrs1	00_All_Treatments
ctnnd1	556726	catenin (cadherin-associated protein), delta 1	ctnnd1	00_All_Treatments
nutf2	449827	nuclear transport factor 2	nutf2	00_All_Treatments
calm2b	192322	calmodulin 2b, (phosphorylase kinase, delta)	calm2b	00_All_Treatments
mrpl20	751640	mitochondrial ribosomal protein L20	mrpl20	00_All_Treatments
LOC110438754	110438754	C-type lectin domain family 4 member E-like	LOC110438754	00_All_Treatments
pdcd6	393925	programmed cell death 6	pdcd6	00_All_Treatments
mcee	553804	methylmalonyl CoA epimerase	mcee	00_All_Treatments
ftr22	560422	finTRIM family, member 22	ftr22	00_All_Treatments
ube2d2	393934	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	ube2d2	00_All_Treatments
hnrnpdl	406701	heterogeneous nuclear ribonucleoprotein D-like	hnrnpdl	00_All_Treatments
crocc	100334752	ciliary rootlet coiled-coil, rootletin	crocc	00_All_Treatments
srcap	563456	Snf2-related CREBBP activator protein	srcap	00_All_Treatments
ugt1a2	100379286	UDP glucuronosyltransferase 1 family, polypeptide A2	ugt1a2	00_All_Treatments
capza1b	474327	capping actin protein of muscle Z-line subunit alpha 1b	capza1b	00_All_Treatments
arpc4l	445305	actin related protein 2/3 complex, subunit 4, like	arpc4l	00_All_Treatments
ezh2	768133	enhancer of zeste 2 polycomb repressive complex 2 subunit	ezh2	00_All_Treatments
dcp1b	568176	decapping mRNA 1B	dcp1b	00_All_Treatments
cbfb	30744	core-binding factor subunit beta	cbfb	00_All_Treatments
ly75	504036	lymphocyte antigen 75	ly75	00_All_Treatments
ube2d2l	335444	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast), like	ube2d2l	00_All_Treatments
plch1	566479	phospholipase C, eta 1	plch1	00_All_Treatments
nsfl1c	492805	NSFL1 (p97) cofactor (p47)	nsfl1c	00_All_Treatments
cul9	100332758	cullin 9	cul9	00_All_Treatments
marchf5l	326067	membrane-associated ring finger (C3HC4) 5, like	marchf5l	00_All_Treatments
psmd11b	322265	proteasome 26S subunit, non-ATPase 11b	psmd11b	00_All_Treatments
psmc3	321947	proteasome 26S subunit, ATPase 3	psmc3	00_All_Treatments
LOC108180184	108180184	uncharacterized LOC108180184	LOC108180184	00_All_Treatments
LOC100149991	100149991	E3 ubiquitin-protein ligase TRIM39-like	LOC100149991	00_All_Treatments
cd74a	58113	CD74 molecule, major histocompatibility complex, class II invariant chain a	cd74a	00_All_Treatments
parp14rs1	791754	poly(ADP-ribose) polymerase family member 14-related sequence 1	parp14rs1	00_All_Treatments
uba7	100001302	ubiquitin-like modifier activating enzyme 7	uba7	00_All_Treatments
sptssa	541337	serine palmitoyltransferase, small subunit A	sptssa	00_All_Treatments
znf367	550421	zinc finger protein 367	znf367	00_All_Treatments
si:ch211-108p6.4	100001718	si:ch211-108p6.4	si:ch211-108p6.4	00_All_Treatments
mfn1b	393620	mitofusin 1b	mfn1b	00_All_Treatments
pex16	573990	peroxisomal biogenesis factor 16	pex16	00_All_Treatments
btr31	555877	bloodthirsty-related gene family, member 31	btr31	00_All_Treatments
erap2	100144556	endoplasmic reticulum aminopeptidase 2	erap2	00_All_Treatments
rnf115a	790928	ring finger protein 115a	rnf115a	00_All_Treatments
dnmt3ba	321084	DNA (cytosine-5-)-methyltransferase 3 beta, duplicate a	dnmt3ba	00_All_Treatments
casp22	561021	caspase 22, apoptosis-related cysteine peptidase	casp22	00_All_Treatments
cs	322339	citrate synthase	cs	00_All_Treatments
uba1	406335	ubiquitin-like modifier activating enzyme 1	uba1	00_All_Treatments
mfsd9	100150581	major facilitator superfamily domain containing 9	mfsd9	00_All_Treatments
cox16	550257	cytochrome c oxidase assembly factor COX16	cox16	00_All_Treatments
LOC100330485	100330485	uncharacterized LOC100330485	LOC100330485	00_All_Treatments
si:ch211-226o13.1	101886579	si:ch211-226o13.1	si:ch211-226o13.1	00_All_Treatments
rarres3l	436896	retinoic acid receptor responder 3-like	rarres3l	00_All_Treatments
eif2ak1	565338	eukaryotic translation initiation factor 2-alpha kinase 1	eif2ak1	00_All_Treatments
hspa12a.2	559237	heat shock protein family A (Hsp70) member 12A.2	hspa12a.2	00_All_Treatments
LOC103911103	103911103	uncharacterized LOC103911103	LOC103911103	00_All_Treatments
ubtf	368509	upstream binding transcription factor	ubtf	00_All_Treatments
LOC101883939	101883939	uncharacterized LOC101883939	LOC101883939	00_All_Treatments
si:ch73-106k19.4	100331397	si:ch73-106k19.4	si:ch73-106k19.4	00_All_Treatments
mhc2daa	368878	major histocompatibility complex class II DAA	mhc2daa	00_All_Treatments
si:dkey-46k9.4	101885111	si:dkey-46k9.4	si:dkey-46k9.4	00_All_Treatments
si:dkey-58f10.6	564033	si:dkey-58f10.6	si:dkey-58f10.6	00_All_Treatments
si:ch211-209n20.1	100149641	si:ch211-209n20.1	si:ch211-209n20.1	00_All_Treatments
si:ch211-15j1.5	100148489	si:ch211-15j1.5	si:ch211-15j1.5	00_All_Treatments
chia.3	406819	chitinase, acidic.3	chia.3	00_All_Treatments
gig2l	100005504	grass carp reovirus (GCRV)-induced gene 2l	gig2l	00_All_Treatments
pigrl2.6	100536621	uncharacterized pigrl2.6	pigrl2.6	00_All_Treatments
pimr66	100007494	Pim proto-oncogene, serine/threonine kinase, related 66	pimr66	00_All_Treatments
si:ch211-39i2.2	449866	si:ch211-39i2.2	si:ch211-39i2.2	00_All_Treatments
snupn	324743	snurportin 1	snupn	00_All_Treatments
wdr31	568862	WD repeat domain 31	wdr31	00_All_Treatments
zgc:162611	100037365	zgc:162611	zgc:162611	00_All_Treatments
si:ch211-241j12.3	566552	si:ch211-241j12.3	si:ch211-241j12.3	00_All_Treatments
LOC795984	795984	uncharacterized LOC795984	LOC795984	00_All_Treatments
zgc:173544	793869	zgc:173544	zgc:173544	00_All_Treatments
gls2a	100006303	glutaminase 2a (liver, mitochondrial)	gls2a	00_All_Treatments
ankrd9	492328	ankyrin repeat domain 9	ankrd9	00_All_Treatments
arglu1a	406834	arginine and glutamate rich 1a	arglu1a	00_All_Treatments
si:ch211-168f7.5	322178	si:ch211-168f7.5	si:ch211-168f7.5	00_All_Treatments
ccdc85ca	751667	coiled-coil domain containing 85C, a	ccdc85ca	00_All_Treatments
grm1b	100150246	glutamate receptor, metabotropic 1b	grm1b	00_All_Treatments
zgc:91968	431714	zgc:91968	zgc:91968	00_All_Treatments
rps26l	393715	ribosomal protein S26, like	rps26l	00_All_Treatments
cmss1	450027	cms1 ribosomal small subunit homolog	cmss1	00_All_Treatments
phlpp2	100101638	PH domain and leucine rich repeat protein phosphatase 2	phlpp2	00_All_Treatments
ugt2b2p	100415801	UDP glucuronosyltransferase 2 family, pseudogene B2	ugt2b2p	00_All_Treatments
rbm25b	327336	RNA binding motif protein 25b	rbm25b	00_All_Treatments
syt13	550345	synaptotagmin XIII	syt13	00_All_Treatments
chchd5	100000646	coiled-coil-helix-coiled-coil-helix domain containing 5	chchd5	00_All_Treatments
itgb4	335269	integrin, beta 4	itgb4	00_All_Treatments
adnpa	564637	activity-dependent neuroprotector homeobox a	adnpa	00_All_Treatments
ccnb3	767751	cyclin B3	ccnb3	00_All_Treatments
surf4	394102	surfeit 4	surf4	00_All_Treatments
LOC108180727	108180727	deubiquitinase and deneddylase Dub1	LOC108180727	00_All_Treatments
si:ch211-167j6.3	100002866	si:ch211-167j6.3	si:ch211-167j6.3	00_All_Treatments
xkr9	678537	XK, Kell blood group complex subunit-related family, member 9	xkr9	00_All_Treatments
si:ch211-226m7.4	100003307	si:ch211-226m7.4	si:ch211-226m7.4	00_All_Treatments
si:dkey-201l21.4	100331372	si:dkey-201l21.4	si:dkey-201l21.4	00_All_Treatments
gpr55a	664762	G protein-coupled receptor 55a	gpr55a	00_All_Treatments
bcl2l13	559355	BCL2 like 13	bcl2l13	00_All_Treatments
asb5b	550449	ankyrin repeat and SOCS box containing 5b	asb5b	00_All_Treatments
ncaph	570062	non-SMC condensin I complex, subunit H	ncaph	00_All_Treatments
aurkb	791894	aurora kinase B	aurkb	00_All_Treatments
ftr03	100301515	finTRIM family, member 3	ftr03	00_All_Treatments
LOC553228	553228	gamma-glutamyl hydrolase	LOC553228	00_All_Treatments
cdca7b	572007	cell division cycle associated 7b	cdca7b	00_All_Treatments
batf	564589	basic leucine zipper transcription factor, ATF-like	batf	00_All_Treatments
zgc:162200	558638	zgc:162200	zgc:162200	00_All_Treatments
pmaip1	751765	phorbol-12-myristate-13-acetate-induced protein 1	pmaip1	00_All_Treatments
elmo2	100006857	engulfment and cell motility 2	elmo2	00_All_Treatments
nkain1	393517	sodium/potassium transporting ATPase interacting 1	nkain1	00_All_Treatments
zgc:158464	791139	zgc:158464	zgc:158464	00_All_Treatments
rabl6a	572091	RAB, member RAS oncogene family-like 6a	rabl6a	00_All_Treatments
rh50	791729	Rh50-like protein	rh50	00_All_Treatments
abcc2	393561	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	abcc2	00_All_Treatments
LOC101886086	101886086	uncharacterized LOC101886086	LOC101886086	00_All_Treatments
nr1d1	494487	nuclear receptor subfamily 1, group d, member 1	nr1d1	00_All_Treatments
rgs16	569828	regulator of G protein signaling 16	rgs16	00_All_Treatments
mfsd2aa	492810	MFSD2 lysolipid transporter A, lysophospholipid a	mfsd2aa	00_All_Treatments
prkcdb	100150844	protein kinase C, delta b	prkcdb	00_All_Treatments
crb2b	568520	crumbs cell polarity complex component 2b	crb2b	00_All_Treatments
LOC100334101	100334101	protein NLRC3-like	LOC100334101	00_All_Treatments
map3k8	563727	mitogen-activated protein kinase kinase kinase 8	map3k8	00_All_Treatments
ugt5a5	100415797	UDP glucuronosyltransferase 5 family, polypeptide A5	ugt5a5	00_All_Treatments
arid3b	571249	AT-rich interactive domain 3B	arid3b	00_All_Treatments
ano5a	100534737	anoctamin 5a	ano5a	00_All_Treatments
cep128	100037385	centrosomal protein 128	cep128	00_All_Treatments
atf5a	566223	activating transcription factor 5a	atf5a	00_All_Treatments
adgrg3	799479	adhesion G protein-coupled receptor G3	adgrg3	00_All_Treatments
rnaseh2c	100005387	ribonuclease H2, subunit C	rnaseh2c	00_All_Treatments
LOC110440159	110440159	redox-regulatory protein FAM213A-like	LOC110440159	00_All_Treatments
kiaa0319l	100034533	KIAA0319-like	kiaa0319l	00_All_Treatments
ripk1l	567460	receptor (TNFRSF)-interacting serine-threonine kinase 1, like	ripk1l	00_All_Treatments
ptgfrnb	101884699	prostaglandin F2 receptor inhibitor b	ptgfrnb	00_All_Treatments
LOC101885455	101885455	protein NLRC3-like	LOC101885455	00_All_Treatments
ppp3ccb	565241	protein phosphatase 3, catalytic subunit, gamma isozyme, b	ppp3ccb	00_All_Treatments
LOC100331609	100331609	GTPase IMAP family member 8-like	LOC100331609	00_All_Treatments
scyl2	557149	SCY1 like pseudokinase 2	scyl2	00_All_Treatments
rab24	574423	RAB24, member RAS oncogene family	rab24	00_All_Treatments
cldn5b	450023	claudin 5b	cldn5b	00_All_Treatments
ptpn1	30081	protein tyrosine phosphatase non-receptor type 1	ptpn1	00_All_Treatments
itpr3	794666	inositol 1,4,5-trisphosphate receptor, type 3	itpr3	00_All_Treatments
acsl6	566863	acyl-CoA synthetase long chain family member 6	acsl6	00_All_Treatments
grna	791524	granulin a	grna	00_All_Treatments
capn7	556792	calpain 7	capn7	00_All_Treatments
LOC101886910	101886910	cystatin-A5-like	LOC101886910	00_All_Treatments
actr3	406250	actin related protein 3	actr3	00_All_Treatments
lpar5b	798233	lysophosphatidic acid receptor 5b	lpar5b	00_All_Treatments
wdr55	445394	WD repeat domain 55	wdr55	00_All_Treatments
zgc:112977	553993	zgc:112977	zgc:112977	00_All_Treatments
zdhhc21	100144560	zinc finger DHHC-type palmitoyltransferase 21	zdhhc21	00_All_Treatments
dcstamp	101883335	dendrocyte expressed seven transmembrane protein	dcstamp	00_All_Treatments
aqp10b	100034395	aquaporin 10b	aqp10b	00_All_Treatments
thfp5	100003647	three-finger protein 5	thfp5	00_All_Treatments
LOC571488	571488	E3 ubiquitin/ISG15 ligase TRIM25-like	LOC571488	00_All_Treatments
xndc1	550335	xrcc1 N-terminal domain containing 1	xndc1	00_All_Treatments
LOC110437775	110437775	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like	LOC110437775	00_All_Treatments
si:dkey-97m3.1	100034578	si:dkey-97m3.1	si:dkey-97m3.1	00_All_Treatments
LOC100332293	100332293	WD repeat domain phosphoinositide-interacting protein 1-like	LOC100332293	00_All_Treatments
cacna1ba	555941	calcium channel, voltage-dependent, N type, alpha 1B subunit, a	cacna1ba	00_All_Treatments
LOC101886348	101886348	gastrula zinc finger protein XlCGF8.2DB-like	LOC101886348	00_All_Treatments
slc22a15	555262	solute carrier family 22 member 15	slc22a15	00_All_Treatments
gig2q	100536988	grass carp reovirus (GCRV)-induced gene 2q	gig2q	00_All_Treatments
naalad2	393247	N-acetylated alpha-linked acidic dipeptidase 2	naalad2	00_All_Treatments
si:ch211-264f5.2	570749	si:ch211-264f5.2	si:ch211-264f5.2	00_All_Treatments
ehf	568223	ets homologous factor	ehf	00_All_Treatments
ssuh2.1	101882914	ssu-2 homolog, tandem duplicate 1	ssuh2.1	00_All_Treatments
masp1	100002060	MBL associated serine protease 1	masp1	00_All_Treatments
sh3glb2b	394094	SH3-domain GRB2-like endophilin B2b	sh3glb2b	00_All_Treatments
lect2.1	567278	leukocyte cell derived chemotaxin 2, tandem duplicate 1	lect2.1	00_All_Treatments
illr4	559737	immune-related, lectin-like receptor 4	illr4	00_All_Treatments
ccdc141	553274	coiled-coil domain containing 141	ccdc141	00_All_Treatments
nudt4b	447910	nudix (nucleoside diphosphate linked moiety X)-type motif 4b	nudt4b	00_All_Treatments
trip10b	108179043	thyroid hormone receptor interactor 10b	trip10b	00_All_Treatments
rhcgb	792274	Rh family, C glycoprotein b	rhcgb	00_All_Treatments
upb1	322660	ureidopropionase, beta	upb1	00_All_Treatments
trim65	100149099	tripartite motif containing 65	trim65	00_All_Treatments
fbxw10	563998	F-box and WD repeat domain containing 10	fbxw10	00_All_Treatments
cyp39a1	564475	cytochrome P450, family 39, subfamily A, polypeptide 1	cyp39a1	00_All_Treatments
atox1	558347	antioxidant 1 copper chaperone	atox1	00_All_Treatments
cyp2ad3	569245	cytochrome P450, family 2, subfamily AD, polypeptide 3	cyp2ad3	00_All_Treatments
ampd2a	100330772	adenosine monophosphate deaminase 2a	ampd2a	00_All_Treatments
ttl	767687	tubulin tyrosine ligase	ttl	00_All_Treatments
mtrf1	503530	mitochondrial translational release factor 1	mtrf1	00_All_Treatments
rapgefl1	100149497	Rap guanine nucleotide exchange factor (GEF)-like 1	rapgefl1	00_All_Treatments
cblc	565383	Cbl proto-oncogene C, E3 ubiquitin protein ligase	cblc	00_All_Treatments
scarb1	387260	scavenger receptor class B, member 1	scarb1	00_All_Treatments
mlycd	100037349	malonyl-CoA decarboxylase	mlycd	00_All_Treatments
si:dkey-234h16.7	794145	si:dkey-234h16.7	si:dkey-234h16.7	00_All_Treatments
hsbp1l1	799177	heat shock factor binding protein 1 like 1	hsbp1l1	00_All_Treatments
jupb	100330886	junction plakoglobin b	jupb	00_All_Treatments
folr	100073336	folate receptor	folr	00_All_Treatments
agtr1b	100333455	angiotensin II receptor, type 1b	agtr1b	00_All_Treatments
nt5c2b	557972	5'-nucleotidase, cytosolic IIb	nt5c2b	00_All_Treatments
cbsb	266987	cystathionine beta-synthase b	cbsb	00_All_Treatments
phyhipla	790943	phytanoyl-CoA 2-hydroxylase interacting protein-like a	phyhipla	00_All_Treatments
LOC100148399	100148399	uncharacterized LOC100148399	LOC100148399	00_All_Treatments
cbln7	100001998	cerebellin 7	cbln7	00_All_Treatments
nop10	445391	NOP10 ribonucleoprotein homolog (yeast)	nop10	00_All_Treatments
bmb	559540	brambleberry	bmb	00_All_Treatments
smpdl3b	564392	sphingomyelin phosphodiesterase acid like 3B	smpdl3b	00_All_Treatments
si:dkeyp-72g9.4	793842	si:dkeyp-72g9.4	si:dkeyp-72g9.4	00_All_Treatments
stau2	393899	staufen double-stranded RNA binding protein 2	stau2	00_All_Treatments
