gene_id	entrez_id	gene_name	symbol
si:ch211-165i18.2	100149646	si:ch211-165i18.2	si:ch211-165i18.2
ddx54	286777	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	ddx54
polr2i	449992	RNA polymerase II subunit I	polr2i
chmp2a	798901	charged multivesicular body protein 2A	chmp2a
utp6	393107	UTP6 small subunit processome component	utp6
rbm12bb	334496	RNA binding motif protein 12Bb	rbm12bb
denr	436970	density-regulated protein	denr
gpn1	445239	GPN-loop GTPase 1	gpn1
exosc5	751632	exosome component 5	exosc5
psmd4a	415202	proteasome 26S subunit ubiquitin receptor, non-ATPase 4a	psmd4a
pigf	402942	phosphatidylinositol glycan anchor biosynthesis, class F	pigf
psmd6	393261	proteasome 26S subunit, non-ATPase 6	psmd6
psmd2	393518	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	psmd2
rps19bp1	100005069	ribosomal protein S19 binding protein 1	rps19bp1
abcc3	323301	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	abcc3
eif2s2	324365	eukaryotic translation initiation factor 2, subunit 2 beta	eif2s2
si:dkey-60a16.1	594863	si:dkey-60a16.1	si:dkey-60a16.1
mtif2	556465	mitochondrial translational initiation factor 2	mtif2
lonp1	563257	lon peptidase 1, mitochondrial	lonp1
gfpt1	567861	glutamine--fructose-6-phosphate transaminase 1	gfpt1
tuba8l4	393154	tubulin, alpha 8 like 4	tuba8l4
aldh18a1	557186	aldehyde dehydrogenase 18 family, member A1	aldh18a1
imp4	436992	IMP U3 small nucleolar ribonucleoprotein 4	imp4
nom1	557585	nucleolar protein with MIF4G domain 1	nom1
h2ax	394048	H2A.X variant histone	h2ax
pdcd5	394152	programmed cell death 5	pdcd5
pfdn4	572231	prefoldin subunit 4	pfdn4
mdka	30277	midkine a	mdka
rbbp9	553083	retinoblastoma binding protein 9	rbbp9
LOC103908679	103908679	gastrula zinc finger protein XlCGF57.1-like	LOC103908679
anxa5b	337132	annexin A5b	anxa5b
LOC101885830	101885830	uncharacterized LOC101885830	LOC101885830
armc7	767659	armadillo repeat containing 7	armc7
LOC553528	553528	OCIA domain-containing protein 1-like	LOC553528
LOC572225	572225	zinc finger protein 501	LOC572225
LOC101884777	101884777	butyrophilin-like protein 2	LOC101884777
p2rx4b	387301	purinergic receptor P2X, ligand-gated ion channel, 4b	p2rx4b
erlec1	368331	endoplasmic reticulum lectin 1	erlec1
si:ch211-194m7.4	100331859	si:ch211-194m7.4	si:ch211-194m7.4
got2b	335974	glutamic-oxaloacetic transaminase 2b, mitochondrial	got2b
LOC103909395	103909395	adhesion G protein-coupled receptor E3-like	LOC103909395
ufl1	393578	UFM1-specific ligase 1	ufl1
zgc:113333	541364	zgc:113333	zgc:113333
gcdhb	450003	glutaryl-CoA dehydrogenase b	gcdhb
rpap3	393173	RNA polymerase II associated protein 3	rpap3
LOC101882521	101882521	uncharacterized LOC101882521	LOC101882521
cyp2ae1	572114	cytochrome P450, family 2, subfamily AE, polypeptide 1	cyp2ae1
map2k6	65239	mitogen-activated protein kinase kinase 6	map2k6
fn3krp	559954	fructosamine 3 kinase related protein	fn3krp
trpv4	557850	transient receptor potential cation channel, subfamily V, member 4	trpv4
tbcelb	100332392	tubulin folding cofactor E-like b	tbcelb
LOC110439496	110439496	gastrula zinc finger protein XlCGF57.1-like	LOC110439496
si:ch73-380l3.2	100003913	si:ch73-380l3.2	si:ch73-380l3.2
bbc3	751763	BCL2 binding component 3	bbc3
umad1	100148025	UBAP1-MVB12-associated (UMA) domain containing 1	umad1
bend3	565716	BEN domain containing 3	bend3
scg2b	777641	secretogranin II b	scg2b
st7l	558013	suppression of tumorigenicity 7 like	st7l
peli2	436889	pellino E3 ubiquitin protein ligase family member 2	peli2
LOC101882702	101882702	golgin subfamily A member 6-like protein 22	LOC101882702
pdk2b	393971	pyruvate dehydrogenase kinase 2b	pdk2b
glt8d1	492466	glycosyltransferase 8 domain containing 1	glt8d1
zgc:161973	556635	zgc:161973	zgc:161973
ccdc134	571638	coiled-coil domain containing 134	ccdc134
vdra	30076	vitamin D receptor a	vdra
klhdc4	569887	kelch domain containing 4	klhdc4
bdh1	100037356	3-hydroxybutyrate dehydrogenase, type 1	bdh1
cdcp1b	560859	CUB domain containing protein 1b	cdcp1b
rab11fip4b	100151129	RAB11 family interacting protein 4 (class II) b	rab11fip4b
elapor2a	565175	endosome-lysosome associated apoptosis and autophagy regulator family member 2a	elapor2a
ppfibp2b	436635	PPFIA binding protein 2b	ppfibp2b
igf2bp2b	557028	insulin-like growth factor 2 mRNA binding protein 2b	igf2bp2b
mrpl9	572170	mitochondrial ribosomal protein L9	mrpl9
ube2h	368425	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	ube2h
serpinh2	554550	serine (or cysteine) peptidase inhibitor, clade H, member 2	serpinh2
elac2	492652	elaC ribonuclease Z 2	elac2
slc12a8	100000006	solute carrier family 12 member 8	slc12a8
noxa1	556318	NADPH oxidase activator 1	noxa1
itpkcb	322720	inositol-trisphosphate 3-kinase Cb	itpkcb
aatf	559477	apoptosis antagonizing transcription factor	aatf
mdh1ab	335715	malate dehydrogenase 1Ab, NAD (soluble)	mdh1ab
rnf111	100151141	ring finger protein 111	rnf111
LOC100149761	100149761	dispanin subfamily A member 2b-like	LOC100149761
dynll2a	373083	dynein, light chain, LC8-type 2a	dynll2a
hcfc2	550401	host cell factor C2	hcfc2
syngr3b	570094	synaptogyrin 3b	syngr3b
cyp3c1	324340	cytochrome P450, family 3, subfamily c, polypeptide 1	cyp3c1
mcm9	555610	minichromosome maintenance 9 homologous recombination repair factor	mcm9
si:dkey-112e17.1	567743	si:dkey-112e17.1	si:dkey-112e17.1
prkn	550328	parkin RBR E3 ubiquitin protein ligase	prkn
asz1	572911	ankyrin repeat, SAM and basic leucine zipper domain containing 1	asz1
hax1	436609	HCLS1 associated protein X-1	hax1
ovch1	393114	ovochymase 1	ovch1
ptprsa	140820	protein tyrosine phosphatase receptor type Sa	ptprsa
terb1	559140	telomere repeat binding bouquet formation protein 1	terb1
LOC566646	566646	uncharacterized LOC566646	LOC566646
cited4a	562291	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4a	cited4a
mcm3l	100147915	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like	mcm3l
clu	393775	clusterin	clu
zgc:171500	100006475	zgc:171500	zgc:171500
igl1c1	101884804	immunoglobulin light 1 constant 1	igl1c1
prdx6	393778	peroxiredoxin 6	prdx6
adpgk	557919	ADP-dependent glucokinase	adpgk
wu:fi46h04	100329282	wu:fi46h04	wu:fi46h04
zgc:110425	553782	zgc:110425	zgc:110425
tbca	394029	tubulin cofactor a	tbca
card19	557314	caspase recruitment domain family, member 19	card19
ftr16	562315	finTRIM family, member 16	ftr16
dhrs1	368670	dehydrogenase/reductase (SDR family) member 1	dhrs1
ctnnd1	556726	catenin (cadherin-associated protein), delta 1	ctnnd1
nutf2	449827	nuclear transport factor 2	nutf2
calm2b	192322	calmodulin 2b, (phosphorylase kinase, delta)	calm2b
mrpl20	751640	mitochondrial ribosomal protein L20	mrpl20
LOC110438754	110438754	C-type lectin domain family 4 member E-like	LOC110438754
pdcd6	393925	programmed cell death 6	pdcd6
mcee	553804	methylmalonyl CoA epimerase	mcee
ftr22	560422	finTRIM family, member 22	ftr22
ube2d2	393934	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	ube2d2
hnrnpdl	406701	heterogeneous nuclear ribonucleoprotein D-like	hnrnpdl
crocc	100334752	ciliary rootlet coiled-coil, rootletin	crocc
srcap	563456	Snf2-related CREBBP activator protein	srcap
ugt1a2	100379286	UDP glucuronosyltransferase 1 family, polypeptide A2	ugt1a2
capza1b	474327	capping actin protein of muscle Z-line subunit alpha 1b	capza1b
arpc4l	445305	actin related protein 2/3 complex, subunit 4, like	arpc4l
ezh2	768133	enhancer of zeste 2 polycomb repressive complex 2 subunit	ezh2
dcp1b	568176	decapping mRNA 1B	dcp1b
cbfb	30744	core-binding factor subunit beta	cbfb
ly75	504036	lymphocyte antigen 75	ly75
ube2d2l	335444	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast), like	ube2d2l
plch1	566479	phospholipase C, eta 1	plch1
nsfl1c	492805	NSFL1 (p97) cofactor (p47)	nsfl1c
cul9	100332758	cullin 9	cul9
marchf5l	326067	membrane-associated ring finger (C3HC4) 5, like	marchf5l
psmd11b	322265	proteasome 26S subunit, non-ATPase 11b	psmd11b
psmc3	321947	proteasome 26S subunit, ATPase 3	psmc3
LOC108180184	108180184	uncharacterized LOC108180184	LOC108180184
LOC100149991	100149991	E3 ubiquitin-protein ligase TRIM39-like	LOC100149991
cd74a	58113	CD74 molecule, major histocompatibility complex, class II invariant chain a	cd74a
parp14rs1	791754	poly(ADP-ribose) polymerase family member 14-related sequence 1	parp14rs1
uba7	100001302	ubiquitin-like modifier activating enzyme 7	uba7
sptssa	541337	serine palmitoyltransferase, small subunit A	sptssa
znf367	550421	zinc finger protein 367	znf367
si:ch211-108p6.4	100001718	si:ch211-108p6.4	si:ch211-108p6.4
mfn1b	393620	mitofusin 1b	mfn1b
pex16	573990	peroxisomal biogenesis factor 16	pex16
btr31	555877	bloodthirsty-related gene family, member 31	btr31
erap2	100144556	endoplasmic reticulum aminopeptidase 2	erap2
rnf115a	790928	ring finger protein 115a	rnf115a
dnmt3ba	321084	DNA (cytosine-5-)-methyltransferase 3 beta, duplicate a	dnmt3ba
casp22	561021	caspase 22, apoptosis-related cysteine peptidase	casp22
cs	322339	citrate synthase	cs
uba1	406335	ubiquitin-like modifier activating enzyme 1	uba1
mfsd9	100150581	major facilitator superfamily domain containing 9	mfsd9
cox16	550257	cytochrome c oxidase assembly factor COX16	cox16
LOC100330485	100330485	uncharacterized LOC100330485	LOC100330485
si:ch211-226o13.1	101886579	si:ch211-226o13.1	si:ch211-226o13.1
rarres3l	436896	retinoic acid receptor responder 3-like	rarres3l
eif2ak1	565338	eukaryotic translation initiation factor 2-alpha kinase 1	eif2ak1
hspa12a.2	559237	heat shock protein family A (Hsp70) member 12A.2	hspa12a.2
LOC103911103	103911103	uncharacterized LOC103911103	LOC103911103
ubtf	368509	upstream binding transcription factor	ubtf
LOC101883939	101883939	uncharacterized LOC101883939	LOC101883939
si:ch73-106k19.4	100331397	si:ch73-106k19.4	si:ch73-106k19.4
mhc2daa	368878	major histocompatibility complex class II DAA	mhc2daa
si:dkey-46k9.4	101885111	si:dkey-46k9.4	si:dkey-46k9.4
si:dkey-58f10.6	564033	si:dkey-58f10.6	si:dkey-58f10.6
si:ch211-209n20.1	100149641	si:ch211-209n20.1	si:ch211-209n20.1
si:ch211-15j1.5	100148489	si:ch211-15j1.5	si:ch211-15j1.5
chia.3	406819	chitinase, acidic.3	chia.3
gig2l	100005504	grass carp reovirus (GCRV)-induced gene 2l	gig2l
pigrl2.6	100536621	uncharacterized pigrl2.6	pigrl2.6
pimr66	100007494	Pim proto-oncogene, serine/threonine kinase, related 66	pimr66
si:ch211-39i2.2	449866	si:ch211-39i2.2	si:ch211-39i2.2
snupn	324743	snurportin 1	snupn
wdr31	568862	WD repeat domain 31	wdr31
zgc:162611	100037365	zgc:162611	zgc:162611
si:ch211-241j12.3	566552	si:ch211-241j12.3	si:ch211-241j12.3
LOC795984	795984	uncharacterized LOC795984	LOC795984
zgc:173544	793869	zgc:173544	zgc:173544
gls2a	100006303	glutaminase 2a (liver, mitochondrial)	gls2a
ankrd9	492328	ankyrin repeat domain 9	ankrd9
arglu1a	406834	arginine and glutamate rich 1a	arglu1a
si:ch211-168f7.5	322178	si:ch211-168f7.5	si:ch211-168f7.5
ccdc85ca	751667	coiled-coil domain containing 85C, a	ccdc85ca
grm1b	100150246	glutamate receptor, metabotropic 1b	grm1b
zgc:91968	431714	zgc:91968	zgc:91968
rps26l	393715	ribosomal protein S26, like	rps26l
cmss1	450027	cms1 ribosomal small subunit homolog	cmss1
phlpp2	100101638	PH domain and leucine rich repeat protein phosphatase 2	phlpp2
ugt2b2p	100415801	UDP glucuronosyltransferase 2 family, pseudogene B2	ugt2b2p
rbm25b	327336	RNA binding motif protein 25b	rbm25b
syt13	550345	synaptotagmin XIII	syt13
chchd5	100000646	coiled-coil-helix-coiled-coil-helix domain containing 5	chchd5
itgb4	335269	integrin, beta 4	itgb4
adnpa	564637	activity-dependent neuroprotector homeobox a	adnpa
ccnb3	767751	cyclin B3	ccnb3
surf4	394102	surfeit 4	surf4
LOC108180727	108180727	deubiquitinase and deneddylase Dub1	LOC108180727
si:ch211-167j6.3	100002866	si:ch211-167j6.3	si:ch211-167j6.3
xkr9	678537	XK, Kell blood group complex subunit-related family, member 9	xkr9
si:ch211-226m7.4	100003307	si:ch211-226m7.4	si:ch211-226m7.4
si:dkey-201l21.4	100331372	si:dkey-201l21.4	si:dkey-201l21.4
gpr55a	664762	G protein-coupled receptor 55a	gpr55a
bcl2l13	559355	BCL2 like 13	bcl2l13
asb5b	550449	ankyrin repeat and SOCS box containing 5b	asb5b
ncaph	570062	non-SMC condensin I complex, subunit H	ncaph
aurkb	791894	aurora kinase B	aurkb
ftr03	100301515	finTRIM family, member 3	ftr03
LOC553228	553228	gamma-glutamyl hydrolase	LOC553228
cdca7b	572007	cell division cycle associated 7b	cdca7b
batf	564589	basic leucine zipper transcription factor, ATF-like	batf
zgc:162200	558638	zgc:162200	zgc:162200
pmaip1	751765	phorbol-12-myristate-13-acetate-induced protein 1	pmaip1
elmo2	100006857	engulfment and cell motility 2	elmo2
nkain1	393517	sodium/potassium transporting ATPase interacting 1	nkain1
zgc:158464	791139	zgc:158464	zgc:158464
rabl6a	572091	RAB, member RAS oncogene family-like 6a	rabl6a
rh50	791729	Rh50-like protein	rh50
abcc2	393561	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	abcc2
LOC101886086	101886086	uncharacterized LOC101886086	LOC101886086
nr1d1	494487	nuclear receptor subfamily 1, group d, member 1	nr1d1
rgs16	569828	regulator of G protein signaling 16	rgs16
mfsd2aa	492810	MFSD2 lysolipid transporter A, lysophospholipid a	mfsd2aa
prkcdb	100150844	protein kinase C, delta b	prkcdb
crb2b	568520	crumbs cell polarity complex component 2b	crb2b
LOC100334101	100334101	protein NLRC3-like	LOC100334101
map3k8	563727	mitogen-activated protein kinase kinase kinase 8	map3k8
ugt5a5	100415797	UDP glucuronosyltransferase 5 family, polypeptide A5	ugt5a5
arid3b	571249	AT-rich interactive domain 3B	arid3b
ano5a	100534737	anoctamin 5a	ano5a
cep128	100037385	centrosomal protein 128	cep128
atf5a	566223	activating transcription factor 5a	atf5a
adgrg3	799479	adhesion G protein-coupled receptor G3	adgrg3
rnaseh2c	100005387	ribonuclease H2, subunit C	rnaseh2c
LOC110440159	110440159	redox-regulatory protein FAM213A-like	LOC110440159
kiaa0319l	100034533	KIAA0319-like	kiaa0319l
ripk1l	567460	receptor (TNFRSF)-interacting serine-threonine kinase 1, like	ripk1l
ptgfrnb	101884699	prostaglandin F2 receptor inhibitor b	ptgfrnb
LOC101885455	101885455	protein NLRC3-like	LOC101885455
ppp3ccb	565241	protein phosphatase 3, catalytic subunit, gamma isozyme, b	ppp3ccb
LOC100331609	100331609	GTPase IMAP family member 8-like	LOC100331609
scyl2	557149	SCY1 like pseudokinase 2	scyl2
rab24	574423	RAB24, member RAS oncogene family	rab24
cldn5b	450023	claudin 5b	cldn5b
ptpn1	30081	protein tyrosine phosphatase non-receptor type 1	ptpn1
itpr3	794666	inositol 1,4,5-trisphosphate receptor, type 3	itpr3
acsl6	566863	acyl-CoA synthetase long chain family member 6	acsl6
grna	791524	granulin a	grna
capn7	556792	calpain 7	capn7
LOC101886910	101886910	cystatin-A5-like	LOC101886910
actr3	406250	actin related protein 3	actr3
lpar5b	798233	lysophosphatidic acid receptor 5b	lpar5b
wdr55	445394	WD repeat domain 55	wdr55
zgc:112977	553993	zgc:112977	zgc:112977
zdhhc21	100144560	zinc finger DHHC-type palmitoyltransferase 21	zdhhc21
dcstamp	101883335	dendrocyte expressed seven transmembrane protein	dcstamp
aqp10b	100034395	aquaporin 10b	aqp10b
thfp5	100003647	three-finger protein 5	thfp5
LOC571488	571488	E3 ubiquitin/ISG15 ligase TRIM25-like	LOC571488
xndc1	550335	xrcc1 N-terminal domain containing 1	xndc1
LOC110437775	110437775	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like	LOC110437775
si:dkey-97m3.1	100034578	si:dkey-97m3.1	si:dkey-97m3.1
LOC100332293	100332293	WD repeat domain phosphoinositide-interacting protein 1-like	LOC100332293
cacna1ba	555941	calcium channel, voltage-dependent, N type, alpha 1B subunit, a	cacna1ba
LOC101886348	101886348	gastrula zinc finger protein XlCGF8.2DB-like	LOC101886348
slc22a15	555262	solute carrier family 22 member 15	slc22a15
gig2q	100536988	grass carp reovirus (GCRV)-induced gene 2q	gig2q
naalad2	393247	N-acetylated alpha-linked acidic dipeptidase 2	naalad2
si:ch211-264f5.2	570749	si:ch211-264f5.2	si:ch211-264f5.2
ehf	568223	ets homologous factor	ehf
ssuh2.1	101882914	ssu-2 homolog, tandem duplicate 1	ssuh2.1
masp1	100002060	MBL associated serine protease 1	masp1
sh3glb2b	394094	SH3-domain GRB2-like endophilin B2b	sh3glb2b
lect2.1	567278	leukocyte cell derived chemotaxin 2, tandem duplicate 1	lect2.1
illr4	559737	immune-related, lectin-like receptor 4	illr4
ccdc141	553274	coiled-coil domain containing 141	ccdc141
nudt4b	447910	nudix (nucleoside diphosphate linked moiety X)-type motif 4b	nudt4b
trip10b	108179043	thyroid hormone receptor interactor 10b	trip10b
rhcgb	792274	Rh family, C glycoprotein b	rhcgb
upb1	322660	ureidopropionase, beta	upb1
trim65	100149099	tripartite motif containing 65	trim65
fbxw10	563998	F-box and WD repeat domain containing 10	fbxw10
cyp39a1	564475	cytochrome P450, family 39, subfamily A, polypeptide 1	cyp39a1
atox1	558347	antioxidant 1 copper chaperone	atox1
cyp2ad3	569245	cytochrome P450, family 2, subfamily AD, polypeptide 3	cyp2ad3
ampd2a	100330772	adenosine monophosphate deaminase 2a	ampd2a
ttl	767687	tubulin tyrosine ligase	ttl
mtrf1	503530	mitochondrial translational release factor 1	mtrf1
rapgefl1	100149497	Rap guanine nucleotide exchange factor (GEF)-like 1	rapgefl1
cblc	565383	Cbl proto-oncogene C, E3 ubiquitin protein ligase	cblc
scarb1	387260	scavenger receptor class B, member 1	scarb1
mlycd	100037349	malonyl-CoA decarboxylase	mlycd
si:dkey-234h16.7	794145	si:dkey-234h16.7	si:dkey-234h16.7
hsbp1l1	799177	heat shock factor binding protein 1 like 1	hsbp1l1
jupb	100330886	junction plakoglobin b	jupb
folr	100073336	folate receptor	folr
agtr1b	100333455	angiotensin II receptor, type 1b	agtr1b
nt5c2b	557972	5'-nucleotidase, cytosolic IIb	nt5c2b
cbsb	266987	cystathionine beta-synthase b	cbsb
phyhipla	790943	phytanoyl-CoA 2-hydroxylase interacting protein-like a	phyhipla
LOC100148399	100148399	uncharacterized LOC100148399	LOC100148399
cbln7	100001998	cerebellin 7	cbln7
nop10	445391	NOP10 ribonucleoprotein homolog (yeast)	nop10
bmb	559540	brambleberry	bmb
smpdl3b	564392	sphingomyelin phosphodiesterase acid like 3B	smpdl3b
si:dkeyp-72g9.4	793842	si:dkeyp-72g9.4	si:dkeyp-72g9.4
stau2	393899	staufen double-stranded RNA binding protein 2	stau2
elapor1	449761	endosome-lysosome associated apoptosis and autophagy regulator 1	elapor1
cipca	100535864	CLOCK-interacting pacemaker a	cipca
rsl24d1	406266	ribosomal L24 domain containing 1	rsl24d1
coil	58024	coilin p80	coil
si:ch211-283g2.1	569007	si:ch211-283g2.1	si:ch211-283g2.1
admb	570100	adrenomedullin b	admb
ska3	570479	spindle and kinetochore associated complex subunit 3	ska3
gaa2	100332784	alpha glucosidase 2	gaa2
fap	565888	fibroblast activation protein, alpha	fap
si:dkey-224e22.2	799022	si:dkey-224e22.2	si:dkey-224e22.2
ugt5b6	678597	UDP glucuronosyltransferase 5 family, polypeptide B6	ugt5b6
slc28a1	571287	solute carrier family 28 member 1	slc28a1
si:ch1073-214b20.2	799838	si:ch1073-214b20.2	si:ch1073-214b20.2
ccnj	557593	cyclin J	ccnj
slc6a19a.2	100334171	solute carrier family 6 member 19a, tandem duplicate 2	slc6a19a.2
lmnl3	195817	lamin L3	lmnl3
net1	493607	neuroepithelial cell transforming 1	net1
spata6l	393384	spermatogenesis associated 6-like	spata6l
tcp1	30477	t-complex 1	tcp1
dennd5b	323528	DENN/MADD domain containing 5B	dennd5b
nptx1l	405872	neuronal pentraxin 1 like	nptx1l
slc17a5	767760	solute carrier family 17 member 5	slc17a5
tmprss2	494080	transmembrane serine protease 2	tmprss2
mfsd12b	564425	major facilitator superfamily domain containing 12b	mfsd12b
capn2b	563053	calpain 2, (m/II) large subunit b	capn2b
tmem106a	407612	transmembrane protein 106A	tmem106a
blnk	405764	B cell linker	blnk
insig1	334189	insulin induced gene 1	insig1
galnt11	558716	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	galnt11
osbpl2b	334206	oxysterol binding protein-like 2b	osbpl2b
grtp1b	550508	growth hormone regulated TBC protein 1b	grtp1b
unm_sa911	100334992	un-named sa911	unm_sa911
si:ch211-122f10.4	792966	si:ch211-122f10.4	si:ch211-122f10.4
xcr1a.1	553500	chemokine (C motif) receptor 1a, duplicate 1	xcr1a.1
herc56.2	794323	HECT and RLD domain containing E3 ubiquitin protein ligase 56.2	herc56.2
ankhb	323738	ANKH inorganic pyrophosphate transport regulator b	ankhb
zgc:110366	550476	zgc:110366	zgc:110366
rln1	100996239	relaxin 1	rln1
ntd5	386628	ntl-dependent gene 5	ntd5
hs6st1a	553162	heparan sulfate 6-O-sulfotransferase 1a	hs6st1a
slc22a6l	404609	solute carrier family 22 member 6, like	slc22a6l
slc13a3	405838	solute carrier family 13 member 3	slc13a3
dpp7	503737	dipeptidyl-peptidase 7	dpp7
slc16a5b	794371	solute carrier family 16 member 5b	slc16a5b
cltrn	402976	collectrin, amino acid transport regulator	cltrn
ptgs2a	246227	prostaglandin-endoperoxide synthase 2a	ptgs2a
unga	393949	uracil DNA glycosylase a	unga
gvin1l	108182776	GTPase, very large interferon inducible 1, like	gvin1l
med29	797134	mediator complex subunit 29	med29
ston2	619262	stonin 2	ston2
mxg	360148	myxovirus (influenza virus) resistance G	mxg
casp6a	552927	caspase 6, apoptosis-related cysteine peptidase a	casp6a
zgc:194655	794380	zgc:194655	zgc:194655
eif4ebp3l	324490	eukaryotic translation initiation factor 4E binding protein 3, like	eif4ebp3l
si:ch211-217k17.12	559555	si:ch211-217k17.12	si:ch211-217k17.12
LOC100150882	100150882	uncharacterized LOC100150882	LOC100150882
pim2	58054	Pim-2 proto-oncogene, serine/threonine kinase	pim2
si:ch211-284e13.11	100333052	si:ch211-284e13.11	si:ch211-284e13.11
si:dkey-16l2.20	100000168	si:dkey-16l2.20	si:dkey-16l2.20
ppdpfa	338304	pancreatic progenitor cell differentiation and proliferation factor a	ppdpfa
si:dkey-172o19.2	100000812	si:dkey-172o19.2	si:dkey-172o19.2
zgc:110319	796111	zgc:110319	zgc:110319
pex26	334644	peroxisomal biogenesis factor 26	pex26
fdft1	571911	farnesyl-diphosphate farnesyltransferase 1	fdft1
si:dkey-111e8.5	566993	si:dkey-111e8.5	si:dkey-111e8.5
npsn	404039	nephrosin	npsn
LOC100150003	100150003	uncharacterized LOC100150003	LOC100150003
rsad2	570456	radical S-adenosyl methionine domain containing 2	rsad2
nudc	393893	nudC nuclear distribution protein	nudc
lsm3	100535720	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	lsm3
ss18l2	550446	ss18, like 2	ss18l2
nup160	393635	nucleoporin 160	nup160
rgs12a	570516	regulator of G protein signaling 12a	rgs12a
selenoh	347743	selenoprotein H	selenoh
cox6a1	335774	cytochrome c oxidase subunit 6A1	cox6a1
b9d2	436667	B9 domain containing 2	b9d2
casp6b.1	791531	caspase 6b.1, apoptosis-related cysteine peptidase	casp6b.1
serhl	322648	serine hydrolase like	serhl
psma6a	171585	proteasome 20S subunit alpha 6a	psma6a
casp8	58022	caspase 8, apoptosis-related cysteine peptidase	casp8
uap1l1	393264	UDP-N-acetylglucosamine pyrophosphorylase 1, like 1	uap1l1
ogfod1	324573	2-oxoglutarate and iron-dependent oxygenase domain containing 1	ogfod1
sh3glb2a	402885	SH3-domain GRB2-like endophilin B2a	sh3glb2a
mns1	573382	meiosis-specific nuclear structural 1	mns1
eny2	436700	ENY2 transcription and export complex 2 subunit	eny2
il13	794053	interleukin 13	il13
tra2a	393388	transformer 2 alpha homolog	tra2a
tdp1	571485	tyrosyl-DNA phosphodiesterase 1	tdp1
il12rb1	101883301	interleukin 12 receptor subunit beta 1	il12rb1
si:ch73-367f21.4	560465	si:ch73-367f21.4	si:ch73-367f21.4
ftr54	799511	finTRIM family, member 54	ftr54
hddc3	550533	HD domain containing 3	hddc3
usp11	568334	ubiquitin specific peptidase 11	usp11
alg8	327601	ALG8 alpha-1,3-glucosyltransferase	alg8
sf3b6	415157	splicing factor 3b, subunit 6	sf3b6
gpr4	563762	G protein-coupled receptor 4	gpr4
ghdc	497449	GH3 domain containing	ghdc
recql	566018	RecQ helicase-like	recql
zdhhc24	436596	zinc finger DHHC-type containing 24	zdhhc24
slc13a5a	503788	solute carrier family 13 member 5a	slc13a5a
psmc1a	336786	proteasome 26S subunit, ATPase 1a	psmc1a
